record_id,cow_id,age,milk_drop_percentage,body_temperature_c,activity_level,stress_level,days_since_last_healthy,health_condition
REC-0001,COW-001,7.7,20,40.1,4455,6,23,Sick
REC-0002,COW-002,5.5,22.9,40.1,3698,6.5,4,Sick
REC-0003,COW-003,8.8,7,38.3,6902,0,3,Healthy
REC-0004,COW-004,3.4,15.5,39.7,4450,4.6,18,At Risk
REC-0005,COW-005,6.5,17.2,39.9,4432,5.9,19,At Risk
REC-0006,COW-006,5.4,30.1,40.7,2897,9.7,14,Sick
REC-0007,COW-007,5,16.4,39.7,4636,4.4,10,At Risk
REC-0008,COW-008,3.6,21.4,40.2,3923,6.6,12,Sick
REC-0009,COW-009,5.3,2.4,39.2,5740,1.8,4,At Risk
REC-0010,COW-010,6.2,10.6,39.4,4728,3.3,1,At Risk
REC-0011,COW-011,7.4,12.2,39.5,4688,3.6,1,At Risk
REC-0012,COW-012,4.4,30,40.5,2774,7.7,10,Sick
REC-0013,COW-013,4.4,26.3,40,3551,7.1,5,At Risk
REC-0014,COW-014,4.8,29.1,40.7,2878,8.5,2,Sick
REC-0015,COW-015,4.7,14.1,39.3,4653,3.3,1,At Risk
REC-0016,COW-016,6.1,28.5,40.3,3825,7.6,5,Sick
REC-0017,COW-017,4,14.6,39.8,3978,5.2,22,At Risk
REC-0018,COW-018,3.8,10.7,39.4,3891,3.1,4,At Risk
REC-0019,COW-019,7,12.6,39.6,4962,4.1,23,At Risk
REC-0020,COW-020,6.4,32.2,40.9,2285,9.3,16,Sick
REC-0021,COW-021,4.4,31,40.4,3541,8,6,Sick
REC-0022,COW-022,4.8,15.5,39.7,4726,4.3,15,At Risk
REC-0023,COW-023,4.8,17.1,39.7,4497,5.1,23,At Risk
REC-0024,COW-024,4.3,16.7,40.1,4571,5.2,24,Sick
REC-0025,COW-025,5.1,12.4,39.2,5317,2.5,0,At Risk
REC-0026,COW-026,4.4,33.2,41.1,2011,9.8,23,Sick
REC-0027,COW-027,2.8,23.4,39.8,4215,6.3,22,At Risk
REC-0028,COW-028,8.9,11,39.6,4829,3.7,0,At Risk
REC-0029,COW-029,7.2,19.6,40,3685,6.3,8,At Risk
REC-0030,COW-030,3.5,21.1,39.9,4311,5.9,3,At Risk
REC-0031,COW-031,3.9,11.2,39.5,4255,3.5,3,At Risk
REC-0032,COW-032,3.4,16.5,40,4566,5.4,14,At Risk
REC-0033,COW-033,4.2,19.6,40,3603,5.6,5,At Risk
REC-0034,COW-034,8.8,21.3,40,3766,6.3,21,At Risk
REC-0035,COW-035,4.3,32,40.7,3280,9,24,Sick
REC-0036,COW-036,8,22.1,40.1,3464,6.1,20,Sick
REC-0037,COW-037,4.9,1,38.8,5031,0.1,4,Healthy
REC-0038,COW-038,5.4,3.4,38.7,6098,0.2,4,Healthy
REC-0039,COW-039,4.6,25.6,40.3,3901,7.2,3,Sick
REC-0040,COW-040,4.9,23.6,40,4258,5.9,6,At Risk
REC-0041,COW-041,5.1,14.6,39.5,4505,4.3,21,At Risk
REC-0042,COW-042,5.7,20.2,39.9,4062,5.7,18,At Risk
REC-0043,COW-043,6.7,16.3,39.6,4208,4.7,7,At Risk
REC-0044,COW-044,2.6,17.4,40.1,3657,5.7,15,Sick
REC-0045,COW-045,8,8.3,39.4,4610,3.2,0,At Risk
REC-0046,COW-046,8,3,38.6,6144,1,1,Healthy
