date,day_of_simulation,daily_profit_pkr,sick_cow_count,total_milk_l,feed_cost_pkr,7_day_rolling_avg
3/2/2026,1,845472,13,5420.1,226950,845472
3/3/2026,2,888538,16,5617.9,227400,867005
3/4/2026,3,893658,9,5636.4,226350,875889.33
3/5/2026,4,930584,6,5802.2,225900,889563
3/6/2026,5,868850,11,5525,226650,885420.4
3/7/2026,6,846704,13,5425.7,226950,878967.67
3/8/2026,7,884778,11,5597.4,226650,879797.71
3/9/2026,8,902598,11,5678.4,226650,887958.57
3/10/2026,9,886962,7,5604.6,226050,887733.43
3/11/2026,10,875182,10,5553.1,226500,885094
3/12/2026,11,922870,8,5768.5,226200,883992
3/13/2026,12,848876,17,5438.3,227550,881138.57
3/14/2026,13,866934,16,5519.7,227400,884028.57
3/15/2026,14,885110,6,5595.5,225900,884076
3/16/2026,15,896230,25,5659,228750,883166.29
3/17/2026,16,893488,5,5632.9,225750,884098.57
3/18/2026,17,902952,6,5676.6,225900,888065.71
3/19/2026,18,850126,16,5443.3,227400,877673.71
3/20/2026,19,847208,7,5423.9,226050,877435.43
3/21/2026,20,879870,5,5571,225750,879283.43
3/22/2026,21,868134,8,5519.7,226200,876858.29
3/23/2026,22,876926,17,5565.8,227550,874100.57
3/24/2026,23,874000,17,5552.5,227550,871316.57
3/25/2026,24,919932,5,5753.1,225750,873742.29
3/26/2026,25,892380,14,5634,227100,879778.57
3/27/2026,26,884046,15,5596.8,227250,885041.14
3/28/2026,27,819594,17,5305.2,227550,876430.29
3/29/2026,28,876970,6,5558.5,225900,877692.57
3/30/2026,29,827636,9,5336.3,226350,870651.14
3/31/2026,30,833632,34,5380.6,230100,864884.29
4/1/2026,31,932242,8,5811.1,226200,866642.86
4/2/2026,32,884110,9,5593,226350,865461.43
4/3/2026,33,944076,13,5868.3,226950,874037.14
4/4/2026,34,882270,11,5586,226650,882990.86
4/5/2026,35,898820,7,5658.5,226050,886112.29
4/6/2026,36,805418,15,5239.4,227250,882938.29
4/7/2026,37,946260,9,5875.5,226350,899028
4/8/2026,38,873558,11,5546.4,226650,890644.57
4/9/2026,39,916014,10,5738.7,226500,895202.29
4/10/2026,40,842704,14,5408.2,227100,880720.57
4/11/2026,41,823510,17,5323,227550,872326.29
4/12/2026,42,872000,12,5540,226800,868494.86
4/13/2026,43,872792,12,5543.6,226800,878119.71
4/14/2026,44,945352,13,5874.1,226950,877990
4/15/2026,45,852508,23,5458.9,228450,874982.86
4/16/2026,46,932516,16,5817.8,227400,877340.29
4/17/2026,47,898102,9,5656.6,226350,885254.29
4/18/2026,48,842734,16,5409.7,227400,888000.57
4/19/2026,49,860818,16,5491.9,227400,886403.14
4/20/2026,50,922884,6,5767.2,225900,893559.14
4/21/2026,51,904098,12,5685.9,226800,887665.71
4/22/2026,52,853200,9,5452.5,226350,887764.57
4/23/2026,53,912100,16,5725,227400,884848
4/24/2026,54,894500,5,5637.5,225750,884333.43
4/25/2026,55,896172,5,5645.1,225750,891967.43
4/26/2026,56,895996,5,5644.3,225750,896992.86
4/27/2026,57,905498,10,5690.9,226500,894509.14
4/28/2026,58,937982,13,5840.6,226950,899349.71
4/29/2026,59,841260,16,5403,227400,897644
4/30/2026,60,813194,34,5287.7,230100,883514.57
5/1/2026,61,874306,11,5549.8,226650,880629.71
5/2/2026,62,923400,14,5775,227100,884519.43
5/3/2026,63,851836,9,5446.3,226350,878210.86
5/4/2026,64,886204,10,5603.2,226500,875454.57
5/5/2026,65,876624,13,5561.7,226950,866689.14
5/6/2026,66,895186,17,5648.8,227550,874392.86
5/7/2026,67,851224,10,5444.2,226500,879825.71
5/8/2026,68,820798,10,5305.9,226500,872181.71
5/9/2026,69,868716,5,5520.3,225750,864369.71
5/10/2026,70,807556,16,5249.8,227400,858044
5/11/2026,71,955286,5,5913.8,225750,867912.86
5/12/2026,72,859862,8,5482.1,226200,865518.29
5/13/2026,73,849970,10,5438.5,226500,859058.86
5/14/2026,74,827600,11,5337.5,226650,855684
5/15/2026,75,886590,24,5614.5,228600,865082.86
5/16/2026,76,834158,17,5371.4,227550,860146
5/17/2026,77,917358,5,5741.4,225750,875832
5/18/2026,78,816074,17,5289.2,227550,855944.57
5/19/2026,79,874202,7,5546.6,226050,857993.14
5/20/2026,80,860446,11,5486.8,226650,859489.71
5/21/2026,81,874114,7,5546.2,226050,866134.57
5/22/2026,82,884798,5,5593.4,225750,865878.57
5/23/2026,83,875876,13,5558.3,226950,871838.29
5/24/2026,84,848468,14,5434.4,227100,861996.86
5/25/2026,85,895554,10,5645.7,226500,873351.14
5/26/2026,86,923050,9,5770,226350,880329.43
5/27/2026,87,894650,15,5645,227250,885215.71
5/28/2026,88,873024,15,5546.7,227250,885060
5/29/2026,89,883198,12,5590.9,226800,884831.43
5/30/2026,90,848482,34,5448.1,230100,880918
