cow_id,breed,age_years,weight_kg,days_in_milk,stress_level,health_status,daily_yield_liters
COW-001,Sahiwal,7.7,467,81,6,1,7.4
COW-002,Sahiwal,5.5,506,161,6.5,1,5
COW-003,Holstein,8.8,636,303,0,0,18.9
COW-004,Sahiwal,3.4,495,280,4.6,0,5
COW-005,Sahiwal,6.5,519,253,5.9,1,5
COW-006,Holstein,5.4,423,98,9.7,2,16.5
COW-007,Jersey,5,424,101,4.4,0,15.4
COW-008,Sahiwal,3.6,521,59,6.6,1,6.4
COW-009,Jersey,5.3,474,269,1.8,0,13.6
COW-010,Cholistani,6.2,555,199,3.3,0,6.6
COW-011,Cholistani,7.4,560,289,3.6,0,5
COW-012,Holstein,4.4,462,18,7.7,1,18.7
COW-013,Cholistani,4.4,423,90,7.1,1,7.3
COW-014,Jersey,4.8,450,144,8.5,2,12.8
COW-015,Cholistani,4.7,436,71,3.3,0,11.4
COW-016,Sahiwal,6.1,519,140,7.6,1,6.8
COW-017,Jersey,4,486,292,5.2,0,8.5
COW-018,Holstein,3.8,652,250,3.1,0,17.9
COW-019,Cholistani,7,456,240,4.1,0,5
COW-020,Cholistani,6.4,600,293,9.3,2,5
COW-021,Holstein,4.4,447,293,8,1,14.9
COW-022,Cholistani,4.8,655,292,4.3,0,5
COW-023,Cholistani,4.8,499,207,5.1,0,5
COW-024,Sahiwal,4.3,483,169,5.2,0,5.1
COW-025,Holstein,5.1,436,61,2.5,0,25.8
COW-026,Holstein,4.4,429,122,9.8,2,18
COW-027,Cholistani,2.8,492,234,6.3,1,5
COW-028,Jersey,8.9,482,212,3.7,0,15.6
COW-029,Holstein,7.2,515,107,6.3,1,18.4
COW-030,Holstein,3.5,552,268,5.9,1,15.4
COW-031,Sahiwal,3.9,604,156,3.5,0,8.2
COW-032,Cholistani,3.4,508,160,5.4,0,5
COW-033,Jersey,4.2,591,121,5.6,1,11.5
COW-034,Cholistani,8.8,565,169,6.3,1,5.2
COW-035,Holstein,4.3,602,217,9,2,14.7
COW-036,Cholistani,8,663,113,6.1,1,7.2
COW-037,Sahiwal,4.9,664,162,0.1,0,10.3
COW-038,Jersey,5.4,678,170,0.2,0,14.9
COW-039,Jersey,4.6,614,144,7.2,1,12.5
COW-040,Sahiwal,4.9,488,247,5.9,1,5
COW-041,Jersey,5.1,651,292,4.3,0,11.8
COW-042,Sahiwal,5.7,470,156,5.7,1,5
COW-043,Cholistani,6.7,466,229,4.7,0,5.3
COW-044,Cholistani,2.6,661,190,5.7,1,5
COW-045,Cholistani,8,496,170,3.2,0,7.7
COW-046,Sahiwal,8,661,183,1,0,6.8
COW-047,Cholistani,6.9,513,136,5.2,0,7.3
COW-048,Holstein,3.4,604,48,2.9,0,25.1
COW-049,Sahiwal,5.2,486,22,0.8,0,12.9
COW-050,Sahiwal,4.7,517,297,5.8,1,5
COW-051,Jersey,4.6,460,199,2.9,0,13.1
COW-052,Cholistani,2.8,498,110,5.2,0,7.7
COW-053,Holstein,4.3,670,112,0.9,0,24
COW-054,Sahiwal,7,455,153,9.8,2,5
COW-055,Cholistani,7.1,430,129,2.7,0,7.8
COW-056,Holstein,3.7,441,136,7,1,18.1
COW-057,Holstein,2.9,657,248,2.5,0,21.2
COW-058,Cholistani,8.6,585,198,7.4,1,5
COW-059,Sahiwal,5.3,609,85,5.7,1,6.9
COW-060,Sahiwal,2.8,642,213,0.2,0,8.1
COW-061,Jersey,5.7,543,298,4.6,0,8.7
COW-062,Jersey,6.6,431,232,0.2,0,15.1
COW-063,Sahiwal,5.8,642,13,6.2,1,10.2
COW-064,Cholistani,6.2,520,42,4.6,0,11.4
COW-065,Sahiwal,7.8,582,74,9.6,2,5
COW-066,Cholistani,5,597,124,2.8,0,9.4
COW-067,Cholistani,7,510,84,8.8,2,6.7
COW-068,Holstein,6.1,530,201,5.8,1,18.3
COW-069,Sahiwal,5.2,516,105,3.4,0,11.5
COW-070,Holstein,4,518,71,5,0,21.2
COW-071,Holstein,4.6,652,186,0.5,0,22.6
COW-072,Sahiwal,8.7,569,153,4.5,0,6.6
COW-073,Sahiwal,6.4,563,62,7.9,1,5.8
COW-074,Sahiwal,2.9,611,230,3.5,0,5.3
COW-075,Jersey,8.8,598,262,8.4,2,5.3
COW-076,Holstein,7.8,603,14,5.1,0,22.9
COW-077,Jersey,8.9,517,154,9.5,2,8.7
COW-078,Holstein,5,603,211,9.1,2,14.1
COW-079,Sahiwal,5.3,485,251,4.7,0,5
COW-080,Holstein,6.9,481,200,4.8,0,16.9
COW-081,Holstein,8.1,478,143,8,1,17.4
COW-082,Sahiwal,8.3,557,212,9.2,2,5
COW-083,Cholistani,6.1,672,56,6.3,1,7.6
COW-084,Holstein,7,519,21,9.6,2,22.5
COW-085,Cholistani,8.3,538,165,3.4,0,8
COW-086,Cholistani,4.8,571,229,3.6,0,5
COW-087,Cholistani,8.9,601,154,2.8,0,10.7
COW-088,Cholistani,3.6,656,262,9.4,2,5
COW-089,Sahiwal,7.2,579,19,9.3,2,6.9
COW-090,Holstein,5.6,676,276,5.9,1,14.6
COW-091,Sahiwal,5.1,635,186,8.4,2,5
COW-092,Holstein,2.6,439,206,10,2,12.5
COW-093,Jersey,8.4,572,62,9.4,2,11.9
COW-094,Jersey,3.8,485,182,6.1,1,12.6
COW-095,Jersey,8.2,616,43,3.6,0,18.3
COW-096,Jersey,5.6,636,277,8.2,2,6
COW-097,Cholistani,6.1,647,121,4.8,0,9.6
COW-098,Jersey,7.1,475,201,0.1,0,15.3
COW-099,Jersey,6.5,585,258,5.1,0,9.4
COW-100,Sahiwal,5.9,601,294,1.5,0,7
COW-101,Cholistani,8,619,78,9.8,2,5
COW-102,Sahiwal,6.3,508,120,1.3,0,10.2
COW-103,Sahiwal,6.3,524,17,1.8,0,11.9
COW-104,Cholistani,5.6,593,70,1.9,0,13.9
COW-105,Sahiwal,7.8,509,179,1.8,0,6
COW-106,Jersey,3.3,505,82,0.9,0,18.5
COW-107,Sahiwal,6.6,441,116,9.2,2,5
COW-108,Holstein,3,575,189,2.1,0,20.3
COW-109,Sahiwal,8.5,481,37,3.7,0,13.4
COW-110,Jersey,3.5,454,12,9,2,14.1
COW-111,Jersey,7.4,427,283,4.5,0,7.5
COW-112,Holstein,7.3,467,48,3.2,0,24.3
COW-113,Sahiwal,3.1,559,34,8.9,2,9.4
COW-114,Sahiwal,6.7,544,237,5.4,0,5
COW-115,Jersey,6.1,572,245,1.3,0,12.3
COW-116,Jersey,6.4,483,238,9.3,2,5.3
COW-117,Holstein,3.2,459,121,1.6,0,22.2
COW-118,Sahiwal,2.9,639,252,0.2,0,6
COW-119,Holstein,8.9,449,229,9.2,2,16.5
COW-120,Jersey,8.5,564,35,2.8,0,18.6
